,in,out,1,2,3,4,1_op,2_op,3_op,4_op
0,[1],[4],{4},{4},{4},{4},0.03125,0.03125,0.03125,0.03333333333333333
1,"[1, 2]","[9, 4, 7]","{4, 7}","{4, 7}","{4, 7}","{4, 7}",0.0625,0.0625,0.0625,0.06666666666666667
2,"[1, 2]","[9, 10, 4, 7]","{9, 4, 7}","{4, 7}","{4, 7}","{9, 4, 7}",0.09375,0.0625,0.0625,0.1
3,"[1, 2]","[4, 7, 9, 10, 14, 15]","{9, 4, 12, 7}","{4, 7}","{4, 7}","{9, 4, 12, 7}",0.125,0.0625,0.0625,0.13333333333333333
4,"[1, 2]","[4, 7, 9, 10, 14, 15, 17]","{4, 7, 9, 12, 14}","{4, 7}","{4, 7}","{4, 7, 9, 12, 14}",0.15625,0.0625,0.0625,0.16666666666666666
5,"[1, 2]","[4, 7, 9, 10, 14, 15, 17, 19]","{4, 7, 9, 12, 14, 16}","{4, 7}","{4, 7}","{4, 7, 9, 12, 14, 16}",0.1875,0.0625,0.0625,0.2
6,"[1, 2]","[4, 7, 9, 10, 14, 15, 17, 19, 22]","{4, 7, 9, 12, 14, 16, 20}","{4, 7}","{4, 7}","{4, 7, 9, 12, 14, 16, 20}",0.21875,0.0625,0.0625,0.23333333333333334
7,"[1, 2]","[4, 7, 9, 10, 14, 15, 17, 19, 22, 25]","{4, 7, 9, 12, 14, 16, 20, 22}","{4, 7}","{4, 7}","{4, 7, 9, 12, 14, 16, 20, 22}",0.25,0.0625,0.0625,0.26666666666666666
8,"[1, 2, 6]","[4, 7, 9, 10, 14, 15, 17, 19, 22, 25, 28]","{4, 7, 9, 12, 14, 16, 20, 22, 24}",set(),set(),"{4, 7, 9, 12, 14, 16, 20, 22, 24}",0.28125,0.0,0.0,0.3
9,"[1, 2, 6]","[32, 4, 36, 7, 9, 10, 41, 14, 15, 17, 19, 22, 25, 28]","{4, 7, 9, 12, 14, 16, 20, 22, 24, 28}",set(),set(),"{4, 7, 9, 12, 14, 16, 20, 22, 24, 28}",0.3125,0.0,0.0,0.3333333333333333
10,"[1, 2, 6]","[32, 4, 36, 7, 9, 10, 41, 42, 14, 15, 17, 19, 22, 25, 28]","{4, 7, 9, 12, 14, 16, 20, 22, 24, 28, 31}",set(),set(),"{4, 7, 9, 12, 14, 16, 20, 22, 24, 28}",0.34375,0.0,0.0,0.3333333333333333
11,"[1, 2, 6]","[32, 4, 36, 7, 9, 10, 41, 14, 15, 46, 17, 19, 22, 25, 28]","{32, 4, 7, 9, 12, 14, 16, 20, 22, 24, 28}",set(),set(),"{4, 7, 9, 12, 14, 16, 20, 22, 24, 28}",0.34375,0.0,0.0,0.3333333333333333
12,"[1, 2, 6]","[4, 7, 9, 10, 42, 14, 15, 17, 19, 22, 25, 28]","{4, 7, 9, 12, 14, 16, 20, 22, 24, 31}",set(),set(),"{4, 7, 9, 12, 14, 16, 20, 22, 24}",0.3125,0.0,0.0,0.3
